Label	Saturated	J.D.-2400000	JD_UTC	JD_SOBS	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K	Source-Sky_T1	Peak_T1	Sky/Pixel_T1	N_Sky_Pixels_T1
r_pp_light_00512.fits	0	60212.61818349548	2460212.6181834955	NaN	NaN	0	1.51076	NaN	-10.5	40	NaN	NaN	4959575.895534473	37368	59.056822895064286	2411
r_pp_light_00513.fits	0	60212.61872802116	2460212.618728021	NaN	NaN	0	1.512031	NaN	-10.5	40	NaN	NaN	5006404.082051576	37620	60.60831960461285	2428
r_pp_light_00514.fits	0	60212.61927289376	2460212.6192728938	NaN	NaN	0	1.513296	NaN	-10.4	40	NaN	NaN	4930792.099668702	36814	59.91603694374475	2382
r_pp_light_00515.fits	0	60212.619817245286	2460212.6198172453	NaN	NaN	0	1.514597	NaN	-10.4	40	NaN	NaN	5194747.358249296	35460	60.43811881188119	2424
r_pp_light_00516.fits	0	60212.62036210671	2460212.6203621067	NaN	NaN	0	1.515867	NaN	-10.5	40	NaN	NaN	5259400.814924296	35785	60.45435333896872	2366
r_pp_light_00517.fits	0	60212.62090660911	2460212.620906609	NaN	NaN	0	1.517138	NaN	-10.5	40	NaN	NaN	4948486.877341767	37592	60.04558521560575	2435
r_pp_light_00518.fits	0	60212.621451273095	2460212.621451273	NaN	NaN	0	1.518438	NaN	-10.5	40	NaN	NaN	4949122.0270669265	37054	59.009319286871964	2468
r_pp_light_00519.fits	0	60212.62199519668	2460212.6219951967	NaN	NaN	0	1.519709	NaN	-10.4	40	NaN	NaN	4901576.732150838	38992	59.43401885175664	2334
r_pp_light_00520.fits	0	60212.622539745644	2460212.6225397456	NaN	NaN	0	1.52101	NaN	-10.4	40	NaN	NaN	4503601.5515855905	37128	59.486674866748665	2439
r_pp_light_00521.fits	0	60212.62308583362	2460212.6230858336	NaN	NaN	0	1.522293	NaN	-10.5	40	NaN	NaN	5237095.271626417	38203	59.56168300653595	2448
r_pp_light_00522.fits	0	60212.62363003474	2460212.6236300347	NaN	NaN	0	1.523563	NaN	-10.5	40	NaN	NaN	5321491.503336625	37321	59.66680446465482	2419
r_pp_light_00523.fits	0	60212.62417406263	2460212.6241740626	NaN	NaN	0	1.524866	NaN	-10.5	40	NaN	NaN	5477288.854960708	36825	61.08134920634921	2520
