Label	Saturated	J.D.-2400000	JD_UTC	JD_SOBS	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K	Source-Sky_T1	Peak_T1	Sky/Pixel_T1	N_Sky_Pixels_T1	Source-Sky_C2	Peak_C2	Sky/Pixel_C2	N_Sky_Pixels_C2
r_pp_light_00372.fits	0	60224.62105489615	2460224.621054896	NaN	NaN	0	1.591461	NaN	-10.4	40	NaN	NaN	3555061.505612491	39751	58.59225092250922	1626	410470.7576105473	11467	35.12700296735905	1685
r_pp_light_00373.fits	0	60224.62159806723	2460224.621598067	NaN	NaN	0	1.592757	NaN	-10.4	40	NaN	NaN	3556557.367049571	38153	52.325400931195034	1933	410741.1548549669	11308	36.128818737270876	1964
r_pp_light_00374.fits	0	60224.62214177102	2460224.622141771	NaN	NaN	0	1.594033	NaN	-10.4	40	NaN	NaN	3695215.7506217733	36697	53.1382028376248	1903	411068.939945687	10896	35.75390821986888	1983
r_pp_light_00375.fits	0	60224.62268522009	2460224.62268522	NaN	NaN	0	1.595308	NaN	-10.4	40	NaN	NaN	3539170.376193648	38601	52.02402088772846	1915	409467.6769585344	11511	36.98241076047594	1933
r_pp_light_00376.fits	0	60224.623229132034	2460224.623229132	NaN	NaN	0	1.596611	NaN	-10.4	40	NaN	NaN	3582429.9798517018	38706	53.04624277456647	1903	411364.8437025231	12079	37.94621409921671	1915
r_pp_light_00377.fits	0	60224.62377266213	2460224.623772662	NaN	NaN	0	1.59788	NaN	-10.4	40	NaN	NaN	3882652.1248618043	39135	53.43855175930648	1961	405112.1828084612	9718	36.461959224266536	2011
r_pp_light_00378.fits	0	60224.62431768514	2460224.624317685	NaN	NaN	0	1.599151	NaN	-10.4	40	NaN	NaN	4046269.268732074	36672	50.46177640300486	2263	409686.8689925043	8191	37.24702774108322	2271
r_pp_light_00379.fits	0	60224.62486166693	2460224.624861667	NaN	NaN	0	1.60042	NaN	-10.4	40	NaN	NaN	4122662.7002552166	36345	50.542857142857144	2275	411885.9256410955	7693	35.05838779956427	2295
r_pp_light_00380.fits	0	60224.62540589133	2460224.6254058913	NaN	NaN	0	1.601723	NaN	-10.4	40	NaN	NaN	4293432.562940667	37786	48.466403162055336	2277	412088.0869257584	7596	35.48736616702355	2335
r_pp_light_00381.fits	0	60224.625948842615	2460224.6259488426	NaN	NaN	0	1.603001	NaN	-10.4	40	NaN	NaN	3832100.326525847	38592	53.355510411376336	1969	409389.2339166502	9372	37.56649484536082	1940
r_pp_light_00382.fits	0	60224.62649379624	2460224.6264937962	NaN	NaN	0	1.604271	NaN	-10.4	40	NaN	NaN	4110814.2068777885	36144	50.03116147308782	2118	408173.3110944433	7702	37.48788780280493	2353
r_pp_light_00383.fits	0	60224.627037697006	2460224.627037697	NaN	NaN	0	1.605565	NaN	-10.4	40	NaN	NaN	3863051.0310438294	35934	49.1753488372093	2150	407330.69784002134	8636	36.53846153846154	2327
r_pp_light_00384.fits	0	60224.62758145854	2460224.6275814585	NaN	NaN	0	1.606837	NaN	-10.4	40	NaN	NaN	3964221.751116622	36153	49.864910790144435	2354	405999.4427547156	8616	37.611510791366904	2224
r_pp_light_00385.fits	0	60224.62812532438	2460224.6281253244	NaN	NaN	0	1.608109	NaN	-10.4	40	NaN	NaN	4168416.018419446	37160	51.392857142857146	2296	406247.2163447045	7259	37.90509059534081	2318
r_pp_light_00386.fits	0	60224.628669467755	2460224.6286694678	NaN	NaN	0	1.609369	NaN	-10.4	40	NaN	NaN	4190806.9224830163	36469	48.508665511265164	2308	403579.0124460269	6896	35.45575221238938	2260
r_pp_light_00387.fits	0	60224.62921296293	2460224.629212963	NaN	NaN	0	1.610666	NaN	-10.4	40	NaN	NaN	4067748.2429900807	35349	50.76009070294785	2205	405445.4725768438	7958	36.83503779457536	2249
r_pp_light_00388.fits	0	60224.629757835995	2460224.629757836	NaN	NaN	0	1.611939	NaN	-10.4	40	NaN	NaN	3784805.788167285	37804	53.44644696189496	1942	406597.66711364174	9361	37.63890353189246	1897
r_pp_light_00389.fits	0	60224.63030130789	2460224.630301308	NaN	NaN	0	1.613202	NaN	-10.4	40	NaN	NaN	3891647.8199517513	37664	54.56128353498159	1901	411124.06338055484	9950	36.87942913385827	2032
