Label	Saturated	J.D.-2400000	JD_UTC	JD_SOBS	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K	Source-Sky_T1	Source_SNR_T1	Peak_T1	Sky/Pixel_T1	N_Sky_Pixels_T1	Source-Sky_C2	Source_SNR_C2	Peak_C2	Sky/Pixel_C2	N_Sky_Pixels_C2
r_pp_light_00108.fits	0	60224.477497372776	2460224.477497373	NaN	NaN	0	1.290158	NaN	-10.3	40	NaN	NaN	3457378.450420329	1302.6082040948106	35522	28.62615235322659	4122	347805.6355772974	183.40684710224994	8521	26.38851095993953	3969
r_pp_light_00109.fits	0	60224.47804141231	2460224.4780414123	NaN	NaN	0	1.291027	NaN	-10.3	40	NaN	NaN	3207337.8299289476	1232.2541887573384	36959	27.569222981523666	3951	358330.1835540453	188.77105154598445	11266	24.052332757343866	4051
r_pp_light_00110.fits	0	60224.4785851161	2460224.478585116	NaN	NaN	0	1.291917	NaN	-10.4	40	NaN	NaN	3161979.4576153266	1219.4093505641597	36949	27.978798586572438	3962	358260.5139493102	188.7670424870447	10957	23.407662082514733	4072
r_pp_light_00111.fits	0	60224.479128773324	2460224.4791287733	NaN	NaN	0	1.292809	NaN	-10.4	40	NaN	NaN	3255673.2874438534	1245.6667747817428	38923	29.31449757095372	3911	357727.5817158894	188.33970255940494	10084	25.809451604751075	3957
r_pp_light_00112.fits	0	60224.47967292834	2460224.4796729283	NaN	NaN	0	1.293705	NaN	-10.4	40	NaN	NaN	3180579.891343696	1224.4240311524084	37922	29.418521360961883	3909	354696.8478082946	186.91839502295096	10233	24.58920129385419	4019
r_pp_light_00113.fits	0	60224.48021716438	2460224.4802171644	NaN	NaN	0	1.294584	NaN	-10.4	40	NaN	NaN	3039528.0096697225	1184.2862917974824	38144	27.96301886792453	3975	360453.3992797303	189.7182407367444	12075	25.330060422960724	3972
r_pp_light_00114.fits	0	60224.4807613194	2460224.4807613194	NaN	NaN	0	1.295484	NaN	-10.4	40	NaN	NaN	3328013.1752364347	1266.7125310793979	37093	27.411130178965433	4079	355462.4907706995	187.31409844297198	9604	24.644753162986852	4031
r_pp_light_00115.fits	0	60224.48130467627	2460224.4813046763	NaN	NaN	0	1.296387	NaN	-10.3	40	NaN	NaN	3350548.0155634694	1272.6622921148933	36043	27.46142322097378	4005	347586.98297341313	183.50048891240343	8491	22.78955042527339	4115
r_pp_light_00116.fits	0	60224.48184831021	2460224.48184831	NaN	NaN	0	1.297292	NaN	-10.4	40	NaN	NaN	3386096.616432939	1282.5771138743078	35514	27.940576827449032	4022	341118.02766736964	180.1532176929768	8170	24.46909903201787	4029
r_pp_light_00117.fits	0	60224.48239155114	2460224.482391551	NaN	NaN	0	1.298179	NaN	-10.4	40	NaN	NaN	3212947.0237497156	1233.533893230199	34742	29.031603288797534	3892	348142.71302110597	183.5485516311095	9535	26.910149329283726	3951
