Label	Saturated	J.D.-2400000	JD_UTC	JD_SOBS	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K	Source-Sky_T1	Source_SNR_T1	Peak_T1	Sky/Pixel_T1	N_Sky_Pixels_T1	Source-Sky_C2	Source_SNR_C2	Peak_C2	Sky/Pixel_C2	N_Sky_Pixels_C2
r_pp_light_00052.fits	0	60229.34700917825	2460229.3470091783	NaN	NaN	0	1.373468	NaN	-10.4	60	NaN	NaN	5277310.742903741	1754.6555551125166	35277	0	4477	4156782.6110378816	1488.2860616074172	34766	0	4472
r_pp_light_00053.fits	0	60229.34778607637	2460229.3477860764	NaN	NaN	0	1.37752	NaN	-10.4	60	NaN	NaN	5459155.199204607	1795.1899066700737	34146	0	4480	4352507.360306638	1537.0627564792062	33824	0	4466
r_pp_light_00054.fits	0	60229.348561817314	2460229.3485618173	NaN	NaN	0	1.381676	NaN	-10.4	60	NaN	NaN	5432980.182178797	1789.368819941868	34658	0	4472	4242358.144461895	1509.741100621851	33681	0	4469
r_pp_light_00055.fits	0	60229.349337662105	2460229.349337662	NaN	NaN	0	1.385878	NaN	-10.4	60	NaN	NaN	5420431.009460595	1786.6021897465598	35697	0	4476	4289209.977382518	1521.4184347104697	33889	0	4472
r_pp_light_00056.fits	0	60229.35011353018	2460229.35011353	NaN	NaN	0	1.390121	NaN	-10.4	60	NaN	NaN	5586395.419720217	1823.1223057076813	34692	0	4473	4366541.860411235	1540.543807590944	34212	0	4472
r_pp_light_00057.fits	0	60229.35089001153	2460229.3508900115	NaN	NaN	0	1.39441	NaN	-10.4	60	NaN	NaN	5839767.1705096895	1877.891586896613	34754	0	4480	4522469.959434788	1578.6252947452751	33231	0	4472
r_pp_light_00058.fits	0	60229.35166557878	2460229.351665579	NaN	NaN	0	1.39875	NaN	-10.4	60	NaN	NaN	5762264.425886488	1861.2821487065748	33112	0	4482	4477915.793918919	1567.7532623190564	32771	0	4457
r_pp_light_00059.fits	0	60229.35244195582	2460229.352441956	NaN	NaN	0	1.403142	NaN	-10.4	60	NaN	NaN	5974267.258571989	1906.4497422371899	33547	0	4475	4558072.176179529	1587.206270489512	33447	0	4465
r_pp_light_00060.fits	0	60229.353217777796	2460229.353217778	NaN	NaN	0	1.407508	NaN	-10.4	60	NaN	NaN	5746718.0223949	1857.9095328763653	33892	0	4475	4521584.843795864	1578.4329845223192	33951	0	4478
r_pp_light_00061.fits	0	60229.353996724356	2460229.3539967244	NaN	NaN	0	1.412002	NaN	-10.3	60	NaN	NaN	5570638.252544443	1819.6847281279752	34845	0	4475	4405231.326933472	1550.0705401956352	34549	0	4477
r_pp_light_00062.fits	0	60229.35477292817	2460229.354772928	NaN	NaN	0	1.416538	NaN	-10.3	60	NaN	NaN	5464403.765132191	1796.3235508082455	33929	0	4473	4344638.45125246	1535.1541190578605	34500	0	4475
r_pp_light_00063.fits	0	60229.355548761785	2460229.355548762	NaN	NaN	0	1.421113	NaN	-10.3	60	NaN	NaN	5536878.427565084	1812.2799826236055	34148	0	4473	4368649.415498994	1541.062788069988	34185	0	4472
r_pp_light_00064.fits	0	60229.35632515047	2460229.3563251505	NaN	NaN	0	1.42575	NaN	-10.3	60	NaN	NaN	5709831.04995406	1849.9656091159095	33935	0	4479	4490874.957401712	1570.937970718905	33668	0	4466
r_pp_light_00065.fits	0	60229.35710112285	2460229.357101123	NaN	NaN	0	1.430432	NaN	-10.3	60	NaN	NaN	5762496.991777295	1861.3247683846262	33847	0	4480	4481870.340057835	1568.7671165355353	33645	0	4471
r_pp_light_00066.fits	0	60229.35787751153	2460229.3578775115	NaN	NaN	0	1.435162	NaN	-10.3	60	NaN	NaN	5951689.739645165	1901.6718303006135	33249	0	4474	4587982.502877668	1594.430740094327	33424	0	4470
r_pp_light_00067.fits	0	60229.35865409719	2460229.358654097	NaN	NaN	0	1.439889	NaN	-10.3	60	NaN	NaN	5741319.288953174	1856.7425802023927	34026	0	4474	4521597.282978821	1578.4249661264485	33408	0	4475
r_pp_light_00068.fits	0	60229.359429838136	2460229.359429838	NaN	NaN	0	1.444725	NaN	-10.3	60	NaN	NaN	5686815.949753366	1844.9942370551923	33267	0	4481	4516548.732237461	1577.164878294905	33549	0	4465
r_pp_light_00069.fits	0	60229.36020622682	2460229.360206227	NaN	NaN	0	1.449618	NaN	-10.3	60	NaN	NaN	5323756.628134825	1765.0779928517711	34321	0	4479	4271165.996421086	1516.9361945014848	34170	0	4473
r_pp_light_00070.fits	0	60229.360982604325	2460229.3609826043	NaN	NaN	0	1.454564	NaN	-10.3	60	NaN	NaN	5538160.865690833	1812.6021874852056	35169	0	4484	4363705.632046974	1539.867214471109	33515	0	4478
r_pp_light_00071.fits	0	60229.3617607872	2460229.361760787	NaN	NaN	0	1.459577	NaN	-10.3	60	NaN	NaN	5578728.040250313	1821.4577275375805	34191	0	4476	4432410.380348069	1556.74477816495	34289	0	4482
r_pp_light_00072.fits	0	60229.362536759116	2460229.362536759	NaN	NaN	0	1.464626	NaN	-10.3	60	NaN	NaN	5335729.072841121	1767.7294417853536	33778	0	4472	4328397.080348158	1531.0934005953065	33532	0	4462
r_pp_light_00073.fits	0	60229.363313356414	2460229.3633133564	NaN	NaN	0	1.469745	NaN	-10.3	60	NaN	NaN	5472978.3092376925	1798.2279709679592	34595	0	4476	4415890.938268073	1552.668611970178	33955	0	4473
r_pp_light_00074.fits	0	60229.36408967571	2460229.3640896757	NaN	NaN	0	1.474843	NaN	-10.3	60	NaN	NaN	5594203.601796858	1824.8610201618872	34343	0	4482	4440949.277923858	1558.7472085642635	33971	0	4459
r_pp_light_00075.fits	0	60229.364865659736	2460229.3648656597	NaN	NaN	0	1.48006	NaN	-10.3	60	NaN	NaN	5809754.16431398	1871.4735922419459	33840	0	4481	4536442.783674005	1582.0144320906195	33985	0	4474
r_pp_light_00076.fits	0	60229.365641446784	2460229.365641447	NaN	NaN	0	1.485346	NaN	-10.3	60	NaN	NaN	5859783.964955239	1882.1429934503328	33429	0	4474	4479155.316241378	1568.1029173092836	33314	0	4470
r_pp_light_00077.fits	0	60229.3664179747	2460229.3664179747	NaN	NaN	0	1.490695	NaN	-10.3	60	NaN	NaN	5868223.649693928	1883.9501369705458	33436	0	4476	4535418.206625199	1581.7408134247273	33721	0	4467
r_pp_light_00078.fits	0	60229.36719436338	2460229.3671943634	NaN	NaN	0	1.496097	NaN	-10.3	60	NaN	NaN	5830683.6999280285	1875.9646148862128	34323	0	4484	4533895.822139901	1581.4130900803732	33547	0	4478
r_pp_light_00079.fits	0	60229.36797019653	2460229.3679701965	NaN	NaN	0	1.501544	NaN	-10.3	60	NaN	NaN	5795216.162376215	1868.3421733840146	33238	0	4477	4478232.172611069	1567.8709174060025	33075	0	4468
r_pp_light_00080.fits	0	60229.36874608789	2460229.368746088	NaN	NaN	0	1.506987	NaN	-10.3	60	NaN	NaN	5894899.676377771	1889.6301177294654	33267	0	4476	4385554.451560185	1545.2213321044273	32725	0	4472
r_pp_light_00081.fits	0	60229.36952377297	2460229.369523773	NaN	NaN	0	1.51258	NaN	-10.3	60	NaN	NaN	5787268.220901438	1866.5994787929667	33264	0	4467	4497656.617574969	1572.614903154588	33526	0	4474
r_pp_light_00082.fits	0	60229.370299652684	2460229.3702996527	NaN	NaN	0	1.518235	NaN	-10.3	60	NaN	NaN	5695540.020077706	1846.8529779462924	33331	0	4473	4510396.825950152	1575.669758130494	33828	0	4464
r_pp_light_00083.fits	0	60229.371075335424	2460229.3710753354	NaN	NaN	0	1.523934	NaN	-10.3	60	NaN	NaN	5741413.575386368	1856.76290030232	33578	0	4474	4472741.764656066	1566.5308011424484	33507	0	4467
r_pp_light_00084.fits	0	60229.371851678006	2460229.371851678	NaN	NaN	0	1.529708	NaN	-10.3	60	NaN	NaN	5764169.605736373	1861.6956656602529	33728	0	4483	4499298.4021087885	1572.9951399235624	33510	0	4469
r_pp_light_00085.fits	0	60229.372627418954	2460229.372627419	NaN	NaN	0	1.535548	NaN	-10.3	60	NaN	NaN	5493381.089289916	1802.7418742774555	34110	0	4480	4433713.146514144	1557.0229458071467	33157	0	4471
r_pp_light_00086.fits	0	60229.37340388866	2460229.3734038887	NaN	NaN	0	1.541372	NaN	-10.4	60	NaN	NaN	5662502.40163732	1839.7050743143332	33445	0	4476	4451745.766491719	1561.453389343321	33354	0	4478
r_pp_light_00087.fits	0	60229.37417953694	2460229.374179537	NaN	NaN	0	1.547331	NaN	-10.4	60	NaN	NaN	5742797.082846606	1857.0275318858169	32941	0	4465	4456754.375619205	1562.6753075717081	33622	0	4478
r_pp_light_00088.fits	0	60229.37495546276	2460229.3749554628	NaN	NaN	0	1.553365	NaN	-10.4	60	NaN	NaN	5810138.914593306	1871.5114427618182	33368	0	4469	4381863.922426429	1544.2588332428807	32657	0	4457
r_pp_light_00089.fits	0	60229.37573106494	2460229.375731065	NaN	NaN	0	1.559472	NaN	-10.4	60	NaN	NaN	5634966.930460671	1833.7223627114527	34555	0	4476	4496382.958835855	1572.2945417338706	33906	0	4471
r_pp_light_00090.fits	0	60229.37650699075	2460229.3765069908	NaN	NaN	0	1.565644	NaN	-10.4	60	NaN	NaN	5585795.401690198	1823.0431003397007	33832	0	4487	4467972.1695872275	1565.3728818218876	33896	0	4468
r_pp_light_00091.fits	0	60229.377284502145	2460229.377284502	NaN	NaN	0	1.5718	NaN	-10.4	60	NaN	NaN	5538628.718948577	1812.6640496092962	33286	0	4473	4429050.485689578	1555.8789623840312	33149	0	4470
r_pp_light_00092.fits	0	60229.37806098396	2460229.378060984	NaN	NaN	0	1.578123	NaN	-10.3	60	NaN	NaN	5294256.878939008	1758.4496437587109	34475	0	4474	4294377.446191988	1522.7161339372176	33983	0	4476
r_pp_light_00093.fits	0	60229.37883686321	2460229.378836863	NaN	NaN	0	1.584507	NaN	-10.3	60	NaN	NaN	5286077.617466644	1756.6063307386637	33756	0	4472	4344562.13027551	1535.1132497469591	33806	0	4469
r_pp_light_00094.fits	0	60229.37961320579	2460229.379613206	NaN	NaN	0	1.590975	NaN	-10.3	60	NaN	NaN	5442248.096494096	1791.4284172655248	34470	0	4474	4365420.647648485	1540.2676632743307	34771	0	4472
r_pp_light_00095.fits	0	60229.38038895838	2460229.3803889584	NaN	NaN	0	1.597499	NaN	-10.3	60	NaN	NaN	5369046.064321668	1775.1868886061511	34224	0	4478	4387805.654594839	1545.7340208970331	32931	0	4461
r_pp_light_00096.fits	0	60229.38116533542	2460229.3811653354	NaN	NaN	0	1.60411	NaN	-10.3	60	NaN	NaN	5552389.355455809	1815.7000179915212	33476	0	4478	4455563.693303779	1562.3885530195018	33918	0	4479
r_pp_light_00097.fits	0	60229.38194107637	2460229.3819410764	NaN	NaN	0	1.610699	NaN	-10.4	60	NaN	NaN	5694531.2379251765	1846.6643811931556	34145	0	4481	4452344.216921531	1561.5663287759085	33579	0	4469
r_pp_light_00098.fits	0	60229.38271706039	2460229.3827170604	NaN	NaN	0	1.617466	NaN	-10.4	60	NaN	NaN	5354741.13307606	1772.0047449079932	34393	0	4480	4363393.263454902	1539.7719242052478	34432	0	4473
r_pp_light_00099.fits	0	60229.3834928358	2460229.383492836	NaN	NaN	0	1.624302	NaN	-10.4	60	NaN	NaN	5341125.178560365	1768.9574859789534	34327	0	4478	4436445.419389004	1557.6466090121894	33872	0	4459
r_pp_light_00100.fits	0	60229.38426953694	2460229.384269537	NaN	NaN	0	1.631226	NaN	-10.4	60	NaN	NaN	5423599.01819639	1787.300958597135	34448	0	4475	4417325.508226654	1553.0089744425243	32972	0	4470
r_pp_light_00101.fits	0	60229.38504723366	2460229.3850472337	NaN	NaN	0	1.638239	NaN	-10.4	60	NaN	NaN	5221014.526657354	1741.9375303628854	35181	0	4468	4305274.6862853	1525.4047961672993	34066	0	4472
r_pp_light_00102.fits	0	60229.38582315948	2460229.3858231595	NaN	NaN	0	1.645319	NaN	-10.4	60	NaN	NaN	4840995.137352993	1654.5207383325292	34872	0	4474	4121492.569874202	1479.3407001538496	34523	0	4463
r_pp_light_00103.fits	0	60229.38659967575	2460229.3865996758	NaN	NaN	0	1.652487	NaN	-10.4	60	NaN	NaN	5156025.0438688155	1727.236247765578	33896	0	4475	4269394.079295648	1516.498860815997	33472	0	4474
r_pp_light_00104.fits	0	60229.38737552101	2460229.387375521	NaN	NaN	0	1.659725	NaN	-10.4	60	NaN	NaN	5501914.637941957	1804.6063323178246	33476	0	4476	4434434.521446782	1557.2250349458316	33251	0	4478
r_pp_light_00105.fits	0	60229.38815175928	2460229.3881517593	NaN	NaN	0	1.667066	NaN	-10.4	60	NaN	NaN	5366911.931399939	1774.7113101580878	33729	0	4478	4292966.847965423	1522.2887345354318	33598	0	4455
r_pp_light_00106.fits	0	60229.38892745366	2460229.3889274537	NaN	NaN	0	1.674371	NaN	-10.3	60	NaN	NaN	5518500.980802794	1808.2808562671828	33690	0	4483	4401635.640864426	1549.1885310619896	34291	0	4477
r_pp_light_00107.fits	0	60229.389703437686	2460229.3897034377	NaN	NaN	0	1.681883	NaN	-10.3	60	NaN	NaN	5453380.891030015	1793.8875118352787	33203	0	4473	4295233.387231619	1522.9578230319005	32779	0	4484
r_pp_light_00108.fits	0	60229.39047925919	2460229.390479259	NaN	NaN	0	1.689484	NaN	-10.3	60	NaN	NaN	5315200.922930381	1763.1591336475979	33439	0	4478	4361631.165526672	1539.326751630715	33163	0	4470
