Constell,Number,GCVS,n_GCVS,OriginClass,Code1,SubCode11,SubCode12,ProcClass,Code2,SubCode21,SubCode22,CMP,n_OriginClass,CurveType,VarType,Max,MinI,A1,MinII,A2,dA,f_Max,flt,Period [d],Log10.P [d],u_Period,f_Period,DI,u_DI,dI,DII,dII,MinII-MinI,SpType,B_SpCode1,b_SpCode1,LumClass1,B_SpCode2,b_SpCode2,LumClass2,ChromActive,RAh,RAm,RAs,DE-,DEd,DEm,DEs
73,627,V627 Sco  , # ,unknown ,0,0,0, CB  ,3,1,0,53, # , EA  , ======= ,13.4,14.1,0.7,14.1,0.7,0, # , p  ,0.832068026,-0.0798, # , n ,130, # ,999,999,999,999, -----               ,0,0,0,0,0,0, q ,17,17,31.9,-,42,3,33
73,628,V628 Sco  , # ,unknown ,0,0,0, DM  ,1,1,0,55, # , EA  , ======= ,11.9,12.5,0.6,12.4,0.5,0.1, # , p  ,1.169566035,0.068, # , n ,160, # ,999,999,999,999, -----               ,0,0,0,0,0,0, q ,17,17,24.8,-,36,52,8
73,629,V629 Sco  , # ,unknown ,0,0,0, DM  ,1,1,0,88, # , E   , ======= ,11.9,12.4,0.5,99.99,9.99,9.99, # , p  ,3.24909997,0.5118, # , n ,999, # ,999,999,999,999, -----               ,0,0,0,0,0,0, q ,17,18,20.3,-,39,3,42
73,630,V630 Sco  , # ,unknown ,0,0,0, N   ,0,0,0,   # , # , E   , ======= ,14,15,1,99.99,9.99,9.99, # , p  ,0,-9, # , n ,999, # ,999,999,999,999, -----               ,0,0,0,0,0,0, q ,17,19,21.9,-,38,48,49
73,631,V631 Sco  , # ,unknown ,0,0,0, CB  ,3,1,0,53, # , EA  , ======= ,12.9,13.8,0.9,13.2,0.3,0.6, # , p  ,0.823742986,-0.0842, # , n ,220, # ,999,999,999,999, -----               ,0,0,0,0,0,0, q ,17,19,33.4,-,40,20,58
73,632,V632 Sco  , # ,unknown ,0,0,0, DM  ,1,1,0,97, # , EA  , ======= ,11.1,11.7,0.6,11.6,0.5,0.1, # , V  ,3.220400095,0.5079, # , n ,70, # ,60,999,999,999, F                   ,400,499,0,0,0,0, q ,17,20,30.4,-,43,4,34
73,633,V633 Sco  , # ,unknown ,0,0,0, CB  ,3,1,0,68, # , EB: , ======= ,11.9,12.5,0.6,12.2,0.3,0.3, # , p  ,0.493333012,-0.3069, # , n ,999, # ,0,999,0,999, -----               ,0,0,0,0,0,0, q ,17,21,20.4,-,41,58,18
73,634,V634 Sco  , # ,unknown ,0,0,0, DM  ,1,1,0,69, # , EA  , ======= ,11.7,12.3,0.6,12.2,0.5,0.1, # , p  ,1.224027991,0.0878, # , n ,80, # ,999,999,999,999, A                   ,300,399,0,0,0,0, q ,17,21,39.1,-,36,45,11
73,638,V638 Sco  , # ,unknown ,0,0,0, DM  ,1,1,0,60, # , EA  , ======= ,11.3,12,0.7,99.99,9.99,9.99, # , p  ,2.358217955,0.3726, # , n ,100, # ,70,999,999,999, A                   ,300,399,0,0,0,0, q ,17,24,7.3,-,43,2,4
73,640,V640 Sco  , * ,unknown ,0,0,0, DM  ,1,1,0,   * , # , EA  , ======= ,12.8,13.5,0.7,13.5,0.7,0, # , p  ,1.713019967,0.2338, # , n ,190, # ,999,999,999,999, B4                  ,240,0,0,0,0,0, q ,17,24,25.2,-,39,44,52
