Label	Saturated	J.D.-2400000	JD_UTC	JD_SOBS	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K	Source-Sky_T1	Peak_T1	Sky/Pixel_T1	N_Sky_Pixels_T1
r_pp_light_00044.fits	64021	60249.59176381957	2460249.5917638196	NaN	NaN	0	2.180539	NaN	-13.5	15	NaN	NaN	6915814.509990204	64021	57.050763223287184	2817
r_pp_light_00045.fits	64751	60249.592019062955	2460249.592019063	NaN	NaN	0	2.183738	NaN	-13.5	15	NaN	NaN	6933404.355180431	64751	58.52832097100472	2966
r_pp_light_00046.fits	65535	60249.59227504674	2460249.5922750467	NaN	NaN	0	2.186981	NaN	-13.5	15	NaN	NaN	6997956.177488986	65535	57.12415196743555	2948
r_pp_light_00047.fits	65373	60249.5925301509	2460249.592530151	NaN	NaN	0	2.190207	NaN	-13.5	15	NaN	NaN	6689287.366458029	65373	58.93211752786221	2961
r_pp_light_00048.fits	62438	60249.59278555587	2460249.592785556	NaN	NaN	0	2.193313	NaN	-13.5	15	NaN	NaN	7071783.582557093	62438	58.42336010709505	2988
r_pp_light_00049.fits	62156	60249.59304091474	2460249.5930409147	NaN	NaN	0	2.196559	NaN	-13.5	15	NaN	NaN	6505973.812746028	62156	57.852572559366756	3032
r_pp_light_00050.fits	61411	60249.59329597233	2460249.5932959723	NaN	NaN	0	2.199823	NaN	-13.5	15	NaN	NaN	7000280.043759301	61411	55.439819632327435	2883
r_pp_light_00051.fits	65412	60249.59355209535	2460249.5935520953	NaN	NaN	0	2.203095	NaN	-13.5	15	NaN	NaN	6940146.329883935	65412	58.17243697478992	2975
r_pp_light_00052.fits	64852	60249.59380812524	2460249.5938081252	NaN	NaN	0	2.206373	NaN	-13.5	15	NaN	NaN	6956074.015450023	64852	58.31260561000338	2959
r_pp_light_00053.fits	65535	60249.59406335652	2460249.5940633565	NaN	NaN	0	2.209679	NaN	-13.5	15	NaN	NaN	7115993.904158077	65535	57.48978201634878	2936
r_pp_light_00054.fits	64252	60249.594318796415	2460249.5943187964	NaN	NaN	0	2.212953	NaN	-13.5	15	NaN	NaN	7374990.149075419	64252	59.4588948787062	2968
r_pp_light_00055.fits	61009	60249.59457419021	2460249.59457419	NaN	NaN	0	2.216114	NaN	-13.5	15	NaN	NaN	7201380.108172725	61009	57.91356749311295	2904
r_pp_light_00056.fits	62915	60249.59483006969	2460249.5948300697	NaN	NaN	0	2.219439	NaN	-13.5	15	NaN	NaN	7251714.915125812	62915	58.29694473051837	2913
r_pp_light_00057.fits	63171	60249.5950854402	2460249.59508544	NaN	NaN	0	2.222765	NaN	-13.5	15	NaN	NaN	7533169.056646529	63171	56.747563025210084	2975
r_pp_light_00058.fits	64130	60249.59534081025	2460249.5953408103	NaN	NaN	0	2.2261	NaN	-13.5	15	NaN	NaN	7488411.686175775	64130	61.00990752972259	3028
r_pp_light_00059.fits	63724	60249.595596204046	2460249.595596204	NaN	NaN	0	2.22943	NaN	-13.5	15	NaN	NaN	6952464.833567121	63724	59.506970418225094	2941
r_pp_light_00060.fits	61017	60249.59585214127	2460249.5958521413	NaN	NaN	0	2.232774	NaN	-13.5	15	NaN	NaN	8591080.485404206	61017	60.90549300580007	2931
r_pp_light_00061.fits	64751	60249.596107222605	2460249.5961072226	NaN	NaN	0	2.236132	NaN	-13.5	15	NaN	NaN	8358859.2225814685	64751	60.92602930914166	2866
r_pp_light_00062.fits	62491	60249.59636252327	2460249.5963625233	NaN	NaN	0	2.23947	NaN	-13.5	15	NaN	NaN	8165156.414108777	62491	60.52485627324992	2957
r_pp_light_00063.fits	62182	60249.59661778947	2460249.5966177895	NaN	NaN	0	2.242709	NaN	-13.5	15	NaN	NaN	7371967.741527321	62182	59.94983164983165	2970
r_pp_light_00064.fits	64548	60249.59687390085	2460249.596873901	NaN	NaN	0	2.246075	NaN	-13.5	15	NaN	NaN	7446915.089730841	64548	61.06281156530409	3009
r_pp_light_00065.fits	65112	60249.59712913213	2460249.597129132	NaN	NaN	0	2.249468	NaN	-13.5	15	NaN	NaN	7227967.294744473	65112	60.05439189189189	2960
r_pp_light_00066.fits	65535	60249.5973844449	2460249.597384445	NaN	NaN	0	2.252871	NaN	-13.5	15	NaN	NaN	6969644.002870709	65535	59.06692913385827	3048
r_pp_light_00067.fits	63984	60249.597640255	2460249.597640255	NaN	NaN	0	2.256288	NaN	-13.5	15	NaN	NaN	6957488.002673592	63984	59.50713574510455	3013
r_pp_light_00068.fits	57420	60249.59789542854	2460249.5978954285	NaN	NaN	0	2.259707	NaN	-13.5	15	NaN	NaN	8067806.853962211	57420	59.97011884550085	2945
r_pp_light_00069.fits	62499	60249.59815048613	2460249.598150486	NaN	NaN	0	2.263102	NaN	-13.5	15	NaN	NaN	7767294.179794808	62499	60.59506337558372	2998
r_pp_light_00070.fits	63843	60249.59840556746	2460249.5984055675	NaN	NaN	0	2.266536	NaN	-13.5	15	NaN	NaN	7374725.854562869	63843	59.84757118927973	2985
r_pp_light_00071.fits	61167	60249.59866107674	2460249.5986610767	NaN	NaN	0	2.26983	NaN	-13.5	15	NaN	NaN	7254628.88221109	61167	57.947788493515134	3007
