Label	Saturated	J.D.-2400000	JD_UTC	JD_SOBS	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K	Source-Sky_T1	Source_SNR_T1	Peak_T1	Sky/Pixel_T1	N_Sky_Pixels_T1
r_pp_light_00031.fits	58806	60180.548643402755	2460180.5486434028	NaN	NaN	0	1.030463	NaN	-10.2	20	NaN	NaN	12350746.181927286	2400.5032812288086	58806	35.64710659898477	4925
r_pp_light_00032.fits	58689	60180.5489572105	2460180.5489572105	NaN	NaN	0	1.030785	NaN	-10.2	20	NaN	NaN	12722841.974721266	2455.952356736581	58689	36.50425658285488	5051
r_pp_light_00033.fits	58359	60180.54927181685	2460180.549271817	NaN	NaN	0	1.031109	NaN	-10.3	20	NaN	NaN	12096961.368154973	2360.8428253390507	58359	37.354777870913665	4772
r_pp_light_00034.fits	59526	60180.549585671164	2460180.549585671	NaN	NaN	0	1.031435	NaN	-10.3	20	NaN	NaN	12398280.269843666	2403.7765882249855	59526	36.356404304705634	4739
r_pp_light_00035.fits	58704	60180.549900208134	2460180.549900208	NaN	NaN	0	1.031764	NaN	-10.2	20	NaN	NaN	14602351.326388944	2714.4343310470654	58704	34.82711119984029	5009
r_pp_light_00036.fits	58085	60180.55021415511	2460180.550214155	NaN	NaN	0	1.032093	NaN	-10.3	20	NaN	NaN	16777456.51096353	2989.3980433159327	58085	37.09775401069519	4675
r_pp_light_00037.fits	58588	60180.55052873818	2460180.550528738	NaN	NaN	0	1.032426	NaN	-10.3	20	NaN	NaN	12188850.647826659	2375.306806123115	58588	36.02589063794532	4828
r_pp_light_00038.fits	59181	60180.55084236106	2460180.550842361	NaN	NaN	0	1.032759	NaN	-10.2	20	NaN	NaN	12362039.107940009	2400.5495047236104	59181	37.04933938893476	4844
r_pp_light_00039.fits	57839	60180.551156018395	2460180.5511560184	NaN	NaN	0	1.033094	NaN	-10.3	20	NaN	NaN	14921081.8675878	2751.616558530437	57839	38.31809563935117	4747
r_pp_light_00040.fits	58774	60180.55146994209	2460180.551469942	NaN	NaN	0	1.033431	NaN	-10.3	20	NaN	NaN	14907811.178315157	2750.4023702167647	58774	38.34436531210725	4774
r_pp_light_00041.fits	59026	60180.55178554403	2460180.551785544	NaN	NaN	0	1.033772	NaN	-10.3	20	NaN	NaN	14164550.359405585	2653.088784611091	59026	37.064238952536826	4888
